AcadYr,Major,Level,NumRecords,School
2014,Business,Undergraduate,1952,Irvine
2014,Arts & Humanities,Undergraduate,1833,Irvine
2013,Undeclared,Undergraduate,2160,Irvine
2013,Other/Interdisc.,Undergraduate,1396,Irvine
2013,Multiple Majors,Undergraduate,1298,Irvine
2013,Social Sciences,Undergraduate,4573,Irvine
2013,Physical Sciences,Undergraduate,1135,Irvine
2013,Other Health Science,Undergraduate,1905,Irvine
2013,Life Sciences,Undergraduate,3336,Irvine
2013,Engineering/CS,Undergraduate,3944,Irvine
2013,Education,Undergraduate,56,Irvine
2013,Business,Undergraduate,1800,Irvine
2013,Arts & Humanities,Undergraduate,1927,Irvine
2012,Undeclared,Undergraduate,1741,Irvine
2012,Other/Interdisc.,Undergraduate,1384,Irvine
2012,Multiple Majors,Undergraduate,1245,Irvine
2012,Social Sciences,Undergraduate,4270,Irvine
2012,Physical Sciences,Undergraduate,1005,Irvine
2012,Other Health Science,Undergraduate,1756,Irvine
2012,Life Sciences,Undergraduate,3787,Irvine
2012,Engineering/CS,Undergraduate,3359,Irvine
2012,Education,Undergraduate,66,Irvine
2012,Business,Undergraduate,1784,Irvine
2012,Arts & Humanities,Undergraduate,1819,Irvine
2011,Undeclared,Undergraduate,1583,Irvine
2011,Other/Interdisc.,Undergraduate,1372,Irvine
2011,Multiple Majors,Undergraduate,1330,Irvine
2011,Social Sciences,Undergraduate,4382,Irvine
2011,Physical Sciences,Undergraduate,979,Irvine
2011,Other Health Science,Undergraduate,1323,Irvine
2011,Life Sciences,Undergraduate,4107,Irvine
2011,Engineering/CS,Undergraduate,3209,Irvine
2011,Education,Undergraduate,11,Irvine
2011,Business,Undergraduate,1701,Irvine
2011,Arts & Humanities,Undergraduate,2006,Irvine
2011,Architecture,Undergraduate,1,Irvine
2010,Undeclared,Undergraduate,1195,Irvine
2010,Other/Interdisc.,Undergraduate,1580,Irvine
2010,Multiple Majors,Undergraduate,1407,Irvine
2010,Social Sciences,Undergraduate,4577,Irvine
2010,Physical Sciences,Undergraduate,984,Irvine
2010,Other Health Science,Undergraduate,1046,Irvine
2010,Life Sciences,Undergraduate,4221,Irvine
2010,Engineering/CS,Undergraduate,3086,Irvine
2010,Business,Undergraduate,1732,Irvine
2010,Arts & Humanities,Undergraduate,2147,Irvine
2010,Architecture,Undergraduate,1,Irvine
2009,Undeclared,Undergraduate,1103,Irvine
2009,Other/Interdisc.,Undergraduate,2048,Irvine
2009,Multiple Majors,Undergraduate,1236,Irvine
2009,Social Sciences,Undergraduate,4666,Irvine
2009,Physical Sciences,Undergraduate,967,Irvine
2009,Other Health Science,Undergraduate,755,Irvine
2009,Life Sciences,Undergraduate,4275,Irvine
2009,Engineering/CS,Undergraduate,2934,Irvine
2009,Business,Undergraduate,1976,Irvine
2009,Arts & Humanities,Undergraduate,2265,Irvine
2009,Architecture,Undergraduate,1,Irvine
2008,Undeclared,Undergraduate,1200,Irvine
2008,Other/Interdisc.,Undergraduate,2194,Irvine
2008,Multiple Majors,Undergraduate,1146,Irvine
2008,Social Sciences,Undergraduate,4809,Irvine
2008,Physical Sciences,Undergraduate,964,Irvine
2008,Other Health Science,Undergraduate,614,Irvine
2008,Life Sciences,Undergraduate,4262,Irvine
2008,Engineering/CS,Undergraduate,2956,Irvine
2008,Business,Undergraduate,1774,Irvine
2008,Arts & Humanities,Undergraduate,2193,Irvine
2008,Architecture,Undergraduate,10,Irvine
